aX,aY,aZ
-1525,673,-580
-1525,673,-580
-1525,673,-580
-1525,673,-580
-1525,673,-580
-1525,673,-580
-1525,673,-580
-1525,673,-580
-1672,657,-492
-1672,657,-492
-1672,657,-492
-1672,657,-492
-1672,657,-492
-1672,657,-492
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1754,655,-411
-1956,710,-242
-1956,710,-242
-1956,710,-242
-1956,710,-242
-1956,710,-242
-1956,710,-242
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1948,677,-52
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-1470,346,-186
-558,7,70
-558,7,70
-558,7,70
-558,7,70
-558,7,70
-558,7,70
79,-32,-154
79,-32,-154
79,-32,-154
79,-32,-154
79,-32,-154
79,-32,-154
921,-88,-337
921,-88,-337
921,-88,-337
921,-88,-337
921,-88,-337
1758,-166,-474
1758,-166,-474
1758,-166,-474
1758,-166,-474
1758,-166,-474
1758,-166,-474
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2047,-428,-899
2040,-1548,-2048
2040,-1548,-2048
2040,-1548,-2048
2040,-1548,-2048
2040,-1548,-2048
2040,-1548,-2048
2047,-1491,-1509
2047,-1491,-1509
2047,-1491,-1509
2047,-1491,-1509
2047,-1491,-1509
